Site,NH4_mg_dm3_mean,NH4_mg_dm3_sd,NO3_mg_dm3_mean,NO3_mg_dm3_sd,TP_mg_dm3_mean,TP_mg_dm3_sd,caffeine,acetaminophen,paraxanthine,cotinine,Microplastic_mean_density_microplastics_per_L,Microplastic_sd_density_microplastics_per_L,Fragment_mean_density_microplastics_per_L,Fragment_sd_density_microplastics_per_L,Fiber_mean_density_microplastics_per_L,Fiber_sd_density_microplastics_per_L,Bead_mean_density_microplastics_per_L,Bead_sd_density_microplastics_per_L,distance_weighted_population,Categorical_distance_weighted_population
BK-1,0.003,0,0.08499999999999999,0.007071067811865472,0.0175,7.071067811865457e-4,0.011,0.001,0.002,0,8.333333333333334e-4,0.0016666666666666668,0,0,8.333333333333334e-4,0.0016666666666666668,0,0,1653.72718512439,High
BK-2,0.003,0,0.08499999999999999,0.007071067811865472,0.017,0,0.007,0.001,0,0,0.0014285714285714286,0.0012371791482634839,9.523809523809524e-4,0.001091089451179962,4.761904761904762e-4,8.247860988423224e-4,0,0,1227.77097321179,Mod
BK-3,0.068,0.0014142135623730963,0.09,0,0.015,0,0.003,0.001,0,0,0.004285714285714286,0.0012371791482634839,0.0030952380952380953,0.0017975796274454167,0.0011904761904761906,0.001091089451179962,0,0,639.410773534142,Mod
BGO-1,0.014499999999999999,7.071067811865469e-4,0.08499999999999999,0.007071067811865472,0.014499999999999999,7.071067811865469e-4,0,0.002,0,0,0.0011904761904761906,8.247860988423226e-4,0.0011904761904761906,8.247860988423226e-4,0,0,0,0,601.355244041759,Low
BGO-2,0.001,0,0.08,0,0.0125,7.071067811865469e-4,0,0.001,0,0,0.002142857142857143,0.0031134992453861953,2.380952380952381e-4,4.123930494211612e-4,0.0019047619047619048,0.002704242069428702,0,0,363.703579983439,Low
BGO-3,0.001,0,0.09,0,0.014499999999999999,7.071067811865469e-4,0.005,0.003,0,0,0,0,0,0,0,0,0,0,398.837801050839,Low
OS-1,0.001,0,0.08499999999999999,0.007071067811865472,0.02,0,0,0.001,0,0.001,0.0023809523809523807,0.001486904285332952,0.0023809523809523807,0.001486904285332952,0,0,0,0,233.207898459228,Low
KD-1,0.0035,7.071067811865475e-4,0.065,0.007071067811865481,0.012,0,0.003,0.001,0,0,4.761904761904762e-4,4.123930494211612e-4,0,0,4.761904761904762e-4,4.123930494211612e-4,0,0,300.633859955097,Low
KD-2,0.001,0,0.1,0,0.014499999999999999,7.071067811865469e-4,0.001,0.001,0,0,0.002619047619047619,8.247860988423224e-4,7.142857142857143e-4,0.0012371791482634839,0.0019047619047619048,4.1239304942116133e-4,0,0,325.488354793388,Low
MS-1,0.001,0,0.09,0,0.02,0,0.064,0.035,0.015,0,2.380952380952381e-4,4.123930494211612e-4,0,0,2.380952380952381e-4,4.123930494211612e-4,0,0,412.516903131163,Low
SM-1,0.001,0,0.08499999999999999,0.007071067811865472,0.048,0,0.042,0.012,0.005,0,0.0016666666666666666,0.0017975796274454167,0,0,0.0016666666666666666,0.0017975796274454167,0,0,893.949712280086,Mod
LI-1,0.004,0,0.08,0,0.0125,7.071067811865469e-4,0.05,0.04,0.006,0.002,0.004761904761904762,0.001091089451179962,0.0038095238095238095,0.001486904285332952,2.380952380952381e-4,4.123930494211612e-4,7.142857142857143e-4,7.142857142857143e-4,2179.96269397058,High
LI-2,0.091,0.0014142135623730963,0.095,0.007071067811865481,0.025,0,0.001,0.007,0,0,0.002619047619047619,0.0010910894511799618,0.0014285714285714286,7.142857142857143e-4,0.0011904761904761906,0.001091089451179962,0,0,5937.41261953222,High
LI-3,0.0035,7.071067811865475e-4,0.08,0,0.025,0,0.027,0.002,0.002,0.003,0.0011904761904761906,4.123930494211612e-4,4.761904761904762e-4,8.247860988423224e-4,0,0,7.142857142857143e-4,7.142857142857143e-4,11824.7481757471,High
EM-1,0.1125,0.0021213203435596446,0.185,0.007071067811865481,0.03,0,0.029,0.014,0.002,0,2.380952380952381e-4,4.123930494211612e-4,0,0,2.380952380952381e-4,4.123930494211612e-4,0,0,1383.15983230906,High
OS-2,0.001,0,0.08,0,0.025,0,0.033,0.001,0.004,0.003,0.002142857142857143,0.001889822365046136,2.380952380952381e-4,4.123930494211612e-4,0.0019047619047619048,0.0016495721976846449,0,0,1753.55392669872,High
OS-3,0.001,0,0.08,0,0.025500000000000002,7.071067811865457e-4,0.001,0.001,0,0,0.002142857142857143,7.142857142857143e-4,0,0,0.002142857142857143,7.142857142857143e-4,0,0,537.304338242133,Mod
