"site","NH4_mg_dm3_mean","NH4_mg_dm3_sd","NO3_mg_dm3_mean","NO3_mg_dm3_sd","TP_mg_dm3_mean","TP_mg_dm3_sd"
"BGO-1",0.0145,0.000707106781186547,0.085,0.00707106781186547,0.0145,0.000707106781186547
"BGO-2",0.001,0,0.08,0,0.0125,0.000707106781186547
"BGO-3",0.001,0,0.09,0,0.0145,0.000707106781186547
"BK-1",0.003,0,0.085,0.00707106781186547,0.0175,0.000707106781186546
"BK-2",0.003,0,0.085,0.00707106781186547,0.017,0
"BK-3",0.068,0.0014142135623731,0.09,0,0.015,0
"EM-1",0.1125,0.00212132034355964,0.185,0.00707106781186548,0.03,0
"KD-1",0.0035,0.000707106781186548,0.065,0.00707106781186548,0.012,0
"KD-2",0.001,0,0.1,0,0.0145,0.000707106781186547
"LI-1",0.004,0,0.08,0,0.0125,0.000707106781186547
"LI-2",0.091,0.0014142135623731,0.095,0.00707106781186548,0.025,0
"LI-3",0.0035,0.000707106781186548,0.08,0,0.025,0
"MS-1",0.001,0,0.09,0,0.02,0
"OS-1",0.001,0,0.085,0.00707106781186547,0.02,0
"OS-2",0.001,0,0.08,0,0.025,0
"OS-3",0.001,0,0.08,0,0.0255,0.000707106781186546
"SM-1",0.001,0,0.085,0.00707106781186547,0.048,0
