"Site","Latitude","Longitude","Depth_m","Distance_to_shore_m","Air_Temperature_C","Surface_Temperature_C","Adjacent_Population","Sampling_Date","Time_of_Sampling_hh_mm"
"BK-1",51.90316,105.07404,0.7,10,18,14,80,"20150819","14:50"
"BK-2",51.90365,105.069,0.9,17.5,19,13,80,"20150820","08:49"
"BK-3",51.90536,105.0957,0.8,10,18,14,80,"20150820","11:00"
"BGO-1",52.02693,105.40102,0.9,18,20,13,0,"20150821","08:41"
"BGO-2",52.0197,105.37707,1.1,14,19,14,600,"20150821","10:02"
"BGO-3",52.02649,105.43577,0.7,21,18,16,600,"20150821","18:35"
"OS-1",51.98559,105.47237,900,NA,15,NA,NA,"20150822","06:48"
"KD-1",51.92646,105.24504,0.8,20.75,23,NA,0,"20150822","08:28"
"KD-2",51.91807,105.21456,0.9,14.5,23,16,0,"20150822","10:15"
"MS-1",51.89863,105.15017,0.6,10.5,21,17,0,"20150822","13:07"
"SM-1",51.87152,104.98006,0.9,11.5,21,15,0,"20150822","18:20"
"LI-1",51.86825,104.83042,0.6,8.9,19,14,2000,"20150823","08:01"
"LI-2",51.84626,104.87356,0.8,9.4,21,15,2000,"20150823","10:21"
"LI-3",51.85407,104.86216,0.7,9.25,19.5,15,2000,"20150823","12:00"
"EM-1",51.86005,104.93999,0.7,15.5,24.5,14,0,"20150823","15:32"
"OS-2",51.8553,104.8148,1300,NA,21,NA,NA,"20150823","17:15"
"OS-3",51.859108,105.0769,1400,5000,NA,14.5,NA,"20150823",NA
